particle_node,event_idx,rank,particle_idx,true_label,pred_label,conf,super_score,pt,energy,deltaR_from_axis,deta,dphi,charge,is_charged_hadron,is_neutral_hadron,is_photon,is_electron,is_muon
particle:970:0,970,1,0,label_Hcc,label_Hgg,0.48304483294487,4.543208122253418,182.95828692679967,265.14703369140625,0.11078469912312687,0.02736663818359375,0.10735137015581131,0.0,0.0,1.0,0.0,0.0,0.0
particle:970:1,970,2,1,label_Hcc,label_Hgg,0.48304483294487,3.748382568359375,88.57302997224258,125.13733673095703,0.1935178246248905,-0.008208870887756348,-0.1933436393737793,1.0,1.0,0.0,0.0,0.0,0.0
particle:970:51,970,3,51,label_Hcc,label_Hgg,0.48304483294487,3.1487269401550293,2.508112391059933,3.6599137783050537,0.05846059594697103,0.03684663772583008,0.04538685455918312,0.0,0.0,0.0,1.0,0.0,0.0
particle:970:53,970,4,53,label_Hcc,label_Hgg,0.48304483294487,3.1000823974609375,2.3845333293511133,3.0071985721588135,0.4009425152184465,-0.2030664086341858,0.34571510553359985,1.0,1.0,0.0,0.0,0.0,0.0
particle:970:9,970,5,9,label_Hcc,label_Hgg,0.48304483294487,3.066671133041382,20.43397331419617,29.938934326171875,0.1952339607582256,0.0424003005027771,-0.19057416915893555,0.0,0.0,1.0,0.0,0.0,0.0
particle:970:46,970,6,46,label_Hcc,label_Hgg,0.48304483294487,2.904271125793457,3.037971125580818,4.498244762420654,0.07380377233239205,0.05675166845321655,0.04718310013413429,0.0,0.0,0.0,1.0,0.0,0.0
particle:970:39,970,7,39,label_Hcc,label_Hgg,0.48304483294487,2.898740291595459,4.393683749483292,6.3783135414123535,0.05104549088302615,0.02972644567489624,0.04149675369262695,0.0,0.0,0.0,1.0,0.0,0.0
particle:970:23,970,8,23,label_Hcc,label_Hgg,0.48304483294487,2.8616209030151367,8.921952274903896,12.739928245544434,0.10039257189548416,0.006693542003631592,-0.10016918182373047,-1.0,1.0,0.0,0.0,0.0,0.0
particle:970:48,970,9,48,label_Hcc,label_Hgg,0.48304483294487,2.8596785068511963,2.6682675737622965,3.765881299972534,0.2012750585063973,-0.009669601917266846,-0.20104265213012695,0.0,0.0,0.0,1.0,0.0,0.0
particle:970:56,970,10,56,label_Hcc,label_Hgg,0.48304483294487,2.834543228149414,2.181424195921528,3.249021291732788,0.10463543886263056,0.0634564757347107,0.08319766074419022,-1.0,1.0,0.0,0.0,0.0,0.0
particle:970:5,970,11,5,label_Hcc,label_Hgg,0.48304483294487,2.797293186187744,21.7586937230802,30.08255958557129,0.07479929589343565,-0.039204955101013184,0.06370169669389725,0.0,0.0,1.0,0.0,0.0,0.0
particle:970:55,970,12,55,label_Hcc,label_Hgg,0.48304483294487,2.791551113128662,2.1881103341827175,3.1921777725219727,0.08203247122441092,0.035196900367736816,0.07409793883562088,-1.0,1.0,0.0,0.0,0.0,0.0
particle:970:11,970,13,11,label_Hcc,label_Hgg,0.48304483294487,2.785769462585449,19.841205893719916,29.278690338134766,0.1095532256171021,0.052121520042419434,0.09636003524065018,1.0,1.0,0.0,0.0,0.0,0.0
particle:970:63,970,14,63,label_Hcc,label_Hgg,0.48304483294487,2.784238576889038,1.458616669154838,2.0836715698242188,0.09062340656838513,0.007361412048339844,-0.09032392501831055,0.0,0.0,0.0,1.0,0.0,0.0
particle:970:58,970,15,58,label_Hcc,label_Hgg,0.48304483294487,2.765620470046997,1.9797454613724077,2.883748769760132,0.2741713795730021,0.03277832269668579,0.2722049355506897,1.0,1.0,0.0,0.0,0.0,0.0
