event_idx,true,true_label,pred,pred_label,conf,pred_logit,head_max_particle_energy,real_particles,top_particle_indices
337,9,label_Tbl,9,label_Tbl,0.9999998807907104,3.5387606620788574,71.69532775878906,20,"[19, 17, 16, 10, 18, 12, 15, 4, 14, 7]"
397,8,label_Tbqq,8,label_Tbqq,0.82765132188797,1.137129783630371,70.53165435791016,50,"[49, 48, 44, 32, 38, 7, 19, 22, 16, 40]"
517,0,label_QCD,0,label_QCD,0.5923488736152649,-0.38645926117897034,69.52253723144531,54,"[44, 43, 19, 28, 40, 52, 4, 50, 25, 8]"
166,3,label_Hgg,1,label_Hbb,0.5669053792953491,0.24550969898700714,67.38198852539062,48,"[47, 44, 40, 39, 29, 35, 45, 25, 27, 42]"
341,9,label_Tbl,9,label_Tbl,0.9999728202819824,3.5026822090148926,67.27069091796875,38,"[37, 36, 34, 16, 35, 33, 29, 22, 13, 18]"
232,5,label_Hqql,5,label_Hqql,0.539645791053772,1.384907841682434,66.80781555175781,27,"[26, 13, 0, 10, 1, 5, 19, 16, 3, 11]"
133,3,label_Hgg,3,label_Hgg,0.8536363840103149,0.9176300168037415,66.58582305908203,53,"[52, 0, 17, 38, 48, 40, 4, 5, 11, 6]"
591,6,label_Zqq,6,label_Zqq,0.8343472480773926,0.48620545864105225,63.36103820800781,40,"[39, 28, 11, 30, 25, 15, 37, 17, 38, 36]"
86,2,label_Hcc,2,label_Hcc,0.9375209212303162,1.1810089349746704,63.07791519165039,37,"[36, 33, 23, 34, 32, 28, 29, 26, 22, 1]"
427,8,label_Tbqq,0,label_QCD,0.5762433409690857,-0.7415198087692261,62.716827392578125,48,"[47, 22, 8, 9, 45, 0, 31, 40, 43, 46]"
41,1,label_Hbb,1,label_Hbb,0.9814850091934204,0.8017666935920715,62.240352630615234,40,"[39, 27, 36, 35, 28, 16, 24, 0, 15, 13]"
54,1,label_Hbb,2,label_Hcc,0.5319149494171143,0.8826574087142944,61.73106002807617,35,"[30, 25, 34, 26, 17, 28, 21, 14, 0, 32]"
402,8,label_Tbqq,8,label_Tbqq,0.8283901810646057,1.022031545639038,61.5392951965332,47,"[46, 43, 41, 39, 32, 0, 19, 21, 45, 44]"
378,9,label_Tbl,9,label_Tbl,0.9999997615814209,0.19614887237548828,61.220829010009766,26,"[25, 16, 21, 0, 5, 18, 12, 14, 11, 20]"
537,0,label_QCD,0,label_QCD,0.8871647119522095,-3.256640911102295,61.12383270263672,43,"[42, 41, 37, 38, 32, 40, 30, 39, 23, 29]"
263,4,label_H4q,4,label_H4q,0.9651878476142883,2.2189769744873047,60.97378921508789,39,"[38, 1, 18, 20, 35, 36, 0, 11, 33, 31]"
291,4,label_H4q,4,label_H4q,0.8373408317565918,0.4460410475730896,60.897972106933594,63,"[62, 21, 59, 30, 48, 54, 40, 4, 52, 47]"
284,4,label_H4q,4,label_H4q,0.9572775959968567,2.079249382019043,60.62731170654297,50,"[49, 12, 46, 48, 44, 26, 43, 42, 14, 2]"
618,6,label_Zqq,6,label_Zqq,0.8850794434547424,-0.13101936876773834,60.590511322021484,49,"[48, 47, 6, 35, 4, 34, 11, 24, 36, 3]"
312,4,label_H4q,4,label_H4q,0.5483970046043396,0.30914974212646484,60.384735107421875,57,"[56, 53, 47, 5, 40, 46, 42, 49, 51, 48]"
342,9,label_Tbl,9,label_Tbl,0.999915599822998,4.754775047302246,60.03171920776367,32,"[31, 17, 29, 15, 13, 27, 28, 30, 24, 22]"
138,3,label_Hgg,2,label_Hcc,0.4350200295448303,0.18531428277492523,59.90918731689453,37,"[36, 6, 31, 33, 35, 30, 29, 18, 1, 27]"
523,0,label_QCD,8,label_Tbqq,0.8045963644981384,1.146399974822998,59.74907302856445,53,"[52, 43, 50, 44, 36, 39, 27, 19, 34, 37]"
90,2,label_Hcc,7,label_Wqq,0.5637784004211426,0.2428022027015686,59.7425422668457,35,"[34, 10, 8, 32, 12, 13, 14, 9, 29, 11]"
330,9,label_Tbl,9,label_Tbl,0.9461072683334351,2.985360622406006,59.63822937011719,36,"[35, 9, 30, 32, 33, 22, 26, 29, 15, 4]"
77,2,label_Hcc,0,label_QCD,0.6064386963844299,0.04034048318862915,59.63375473022461,41,"[30, 21, 33, 40, 36, 32, 17, 34, 39, 19]"
293,4,label_H4q,4,label_H4q,0.8268083930015564,1.3846352100372314,59.41487121582031,62,"[50, 61, 24, 43, 0, 32, 57, 19, 58, 59]"
615,6,label_Zqq,6,label_Zqq,0.8796995282173157,1.0810308456420898,58.667118072509766,26,"[25, 12, 17, 13, 14, 0, 6, 21, 18, 4]"
604,6,label_Zqq,8,label_Tbqq,0.7846813797950745,1.1810836791992188,58.2274169921875,50,"[49, 17, 11, 4, 43, 38, 46, 44, 36, 15]"
435,8,label_Tbqq,8,label_Tbqq,0.9937235713005066,1.9597947597503662,58.13005828857422,44,"[42, 15, 38, 16, 32, 43, 29, 33, 30, 40]"
