source,id,event_type,run_index,score_raw,score_norm,is_head,is_particle,is_relation_or_hypothesis,is_particle0,is_core_high_pt,is_wide,is_charged,is_negative_gate,pt_norm,energy_norm,deltaR_norm,charge_abs,gate_abs_norm,gate_sign,patch_drop_norm,head_layer_norm,head_ch_start_norm,head_ch_width_norm,etype_RUN_SUMMARY,etype_HEAD_GATE,etype_HEAD_QUESTION,etype_MODEL_EVENT,etype_PARTICLE_TOP,etype_HYPOTHESIS_UPDATE,class_label_QCD,class_label_Hbb,class_label_Hcc,class_label_Hgg,class_label_H4q,class_label_Hqql,class_label_Zqq,class_label_Wqq,class_label_Tbqq,class_label_Tbl,embedding_json,embedding_dim
stream_event,event:0:RUN_SUMMARY:73680869,RUN_SUMMARY,0,0.7574218511581421,0.3146894923592084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.3146894923592084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",29
stream_event,event:0:HEAD_GATE:35292806,HEAD_GATE,0,0.8005718103609979,0.3282272520267848,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5353155912634808,1.0,0.0,0.3333333333333333,0.4375,0.0625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.3282272520267848,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5353155912634808,1.0,0.0,0.3333333333333333,0.4375,0.0625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",29
stream_event,event:0:HEAD_QUESTION:93193175,HEAD_QUESTION,0,0.8005718103609979,0.3282272520267848,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5353155912634808,1.0,0.0,0.3333333333333333,0.4375,0.0625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.3282272520267848,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5353155912634808,1.0,0.0,0.3333333333333333,0.4375,0.0625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",29
stream_event,event:0:HEAD_GATE:91275391,HEAD_GATE,0,0.6734583724290131,0.28736690144285376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46867522975478687,1.0,0.0,0.0,0.15625,0.03125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"[0.28736690144285376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46867522975478687,1.0,0.0,0.0,0.15625,0.03125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0]",29
stream_event,event:0:HEAD_QUESTION:85392986,HEAD_QUESTION,0,0.6734583724290131,0.28736690144285376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46867522975478687,1.0,0.0,0.0,0.15625,0.03125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"[0.28736690144285376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46867522975478687,1.0,0.0,0.0,0.15625,0.03125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0]",29
stream_event,event:0:HEAD_GATE:73847675,HEAD_GATE,0,0.6716344718355686,0.28675828550826443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4676826199185674,1.0,0.0,0.6666666666666666,0.875,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.28675828550826443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4676826199185674,1.0,0.0,0.6666666666666666,0.875,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",29
stream_event,event:0:HEAD_QUESTION:86423552,HEAD_QUESTION,0,0.6716344718355686,0.28675828550826443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4676826199185674,1.0,0.0,0.6666666666666666,0.875,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.28675828550826443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4676826199185674,1.0,0.0,0.6666666666666666,0.875,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",29
stream_event,event:0:HEAD_GATE:1604618,HEAD_GATE,0,0.6645292914472519,0.2843810145136561,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46380545792115824,1.0,0.0,0.3333333333333333,0.0625,0.0625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.2843810145136561,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46380545792115824,1.0,0.0,0.3333333333333333,0.0625,0.0625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",29
stream_event,event:0:HEAD_QUESTION:73968814,HEAD_QUESTION,0,0.6645292914472519,0.2843810145136561,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46380545792115824,1.0,0.0,0.3333333333333333,0.0625,0.0625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.2843810145136561,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46380545792115824,1.0,0.0,0.3333333333333333,0.0625,0.0625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",29
stream_event,event:0:HEAD_GATE:93756894,HEAD_GATE,0,0.3620088746538386,0.17243426303071915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28122817011196666,1.0,0.0,0.0,0.1875,0.03125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.17243426303071915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28122817011196666,1.0,0.0,0.0,0.1875,0.03125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",29
