class_pair,true_label,pred_label,count,true_total,confusion_rate,baseline_rate,delta_vs_baseline,mean_pred_confidence,score,status
label_Zqq->label_Wqq,label_Zqq,label_Wqq,229,1024,0.2236328125,0.0,0.2236328125,0.634713929292937,3.4524610954525503,ALERT
label_Wqq->label_Zqq,label_Wqq,label_Zqq,150,1024,0.146484375,0.0,0.146484375,0.5884316259622574,2.199796851095936,ALERT
label_Hbb->label_Hcc,label_Hbb,label_Hcc,127,1024,0.1240234375,0.0,0.1240234375,0.5764233874758398,1.8419998471853432,ALERT
label_Hcc->label_Hbb,label_Hcc,label_Hbb,119,1024,0.1162109375,0.0,0.1162109375,0.6196061826052786,1.7184682787022103,ALERT
label_Hgg->label_H4q,label_Hgg,label_H4q,110,1024,0.107421875,0.0,0.107421875,0.6259164013645866,1.5801253145940983,ALERT
label_H4q->label_Hgg,label_H4q,label_Hgg,98,1024,0.095703125,0.0,0.095703125,0.5551752054265567,1.3967985794074118,ALERT
label_Hbb->label_Hgg,label_Hbb,label_Hgg,88,1024,0.0859375,0.0,0.0859375,0.5809977819973772,1.2451171880238556,ALERT
label_Hcc->label_Hgg,label_Hcc,label_Hgg,83,1024,0.0810546875,0.0,0.0810546875,0.5399253336061914,1.1696853459999952,ALERT
label_Hcc->label_H4q,label_Hcc,label_H4q,79,1024,0.0771484375,0.0,0.0771484375,0.5772093636325643,1.1095508829484733,ALERT
label_QCD->label_Hgg,label_QCD,label_Hgg,68,1024,0.06640625,0.0,0.06640625,0.5455512487713028,0.9452336350709118,ALERT
label_Hgg->label_Hcc,label_Hgg,label_Hcc,66,1024,0.064453125,0.0,0.064453125,0.531596026185787,0.9155368289841833,ALERT
label_Wqq->label_QCD,label_Wqq,label_QCD,62,1024,0.060546875,0.0,0.060546875,0.6125834468872317,0.8563226103869873,ALERT
label_Hgg->label_Hbb,label_Hgg,label_Hbb,60,1024,0.05859375,0.0,0.05859375,0.5388439824183782,0.826809015478905,ALERT
label_QCD->label_Wqq,label_QCD,label_Wqq,52,1024,0.05078125,0.0,0.05078125,0.5218439801381185,0.7094288862350687,ALERT
label_QCD->label_Zqq,label_QCD,label_Zqq,50,1024,0.048828125,0.0,0.048828125,0.49439182490110395,0.6802649234728675,ALERT
label_Zqq->label_QCD,label_Zqq,label_QCD,50,1024,0.048828125,0.0,0.048828125,0.5756462579965591,0.6802649234728675,ALERT
label_Hcc->label_Zqq,label_Hcc,label_Zqq,49,1024,0.0478515625,0.0,0.0478515625,0.5658699772795852,0.6657120383456827,ALERT
label_Hbb->label_Zqq,label_Hbb,label_Zqq,45,1024,0.0439453125,0.0,0.0439453125,0.5748001191351149,0.6077039676191497,ALERT
label_Tbl->label_Hqql,label_Tbl,label_Hqql,43,1024,0.0419921875,0.0,0.0419921875,0.7682642687198727,0.578828275643052,ALERT
label_QCD->label_Hcc,label_QCD,label_Hcc,36,1024,0.03515625,0.0,0.03515625,0.5420331160227457,0.4785088328663985,ALERT
label_QCD->label_Tbqq,label_QCD,label_Tbqq,36,1024,0.03515625,0.0,0.03515625,0.5678431321349409,0.4785088328663985,ALERT
label_H4q->label_Hcc,label_H4q,label_Hcc,36,1024,0.03515625,0.0,0.03515625,0.5119914528396394,0.4785088328663985,ALERT
label_Hqql->label_Tbl,label_Hqql,label_Tbl,35,1024,0.0341796875,0.0,0.0341796875,0.7614938804081508,0.46428043246676154,ALERT
label_Hcc->label_Tbqq,label_Hcc,label_Tbqq,33,1024,0.0322265625,0.0,0.0322265625,0.6401084607297723,0.43590810284407555,ALERT
label_Hgg->label_QCD,label_Hgg,label_QCD,32,1024,0.03125,0.0,0.03125,0.5548086017370224,0.4217658612958275,ALERT
label_Zqq->label_Hcc,label_Zqq,label_Hcc,31,1024,0.0302734375,0.0,0.0302734375,0.5705340817090003,0.4076541142449136,ALERT
label_Hbb->label_H4q,label_Hbb,label_H4q,30,1024,0.029296875,0.0,0.029296875,0.5758520185947418,0.39357384388140076,WATCH
label_QCD->label_H4q,label_QCD,label_H4q,29,1024,0.0283203125,0.0,0.0283203125,0.5635914175674833,0.379526097722854,WATCH
label_H4q->label_Tbqq,label_H4q,label_Tbqq,27,1024,0.0263671875,0.0,0.0263671875,0.5756546170623215,0.3515327361081353,WATCH
label_Zqq->label_Hbb,label_Zqq,label_Hbb,27,1024,0.0263671875,0.0,0.0263671875,0.5809893597055364,0.3515327361081353,WATCH
