test,event,donor,n_patch,baseline_pred,patched_pred,success_to_Hqql,flip,delta_margin,target_p0_pid,donor_p0_pid
3A_real_hqql_hadron,3077,3713,8,label_Tbl,label_Hqql,1,1,7.353003740310669,electron,electron
3A_control_qcd_hadron,3077,9010,8,label_Tbl,label_Hqql,1,1,8.363816022872925,electron,charged_hadron
3A_real_hqql_hadron,3082,3285,8,label_Tbl,label_Hqql,1,1,5.184610724449158,electron,photon
3A_control_qcd_hadron,3082,8818,8,label_Tbl,label_QCD,0,1,1.4344936609268188,electron,charged_hadron
3A_real_hqql_hadron,3148,4062,8,label_Tbl,label_Hqql,1,1,3.84939181804657,neutral_hadron,photon
3A_control_qcd_hadron,3148,8528,8,label_Tbl,label_Tbl,0,0,1.0139694213867188,neutral_hadron,photon
3A_real_hqql_hadron,3218,3789,8,label_Tbl,label_Tbl,0,0,1.413459300994873,muon,electron
3A_control_qcd_hadron,3218,8639,8,label_Tbl,label_Tbl,0,0,3.655559778213501,muon,neutral_hadron
3A_real_hqql_hadron,3335,4070,8,label_Tbl,label_Tbl,0,0,0.6745897531509399,electron,muon
3A_control_qcd_hadron,3335,8821,8,label_Tbl,label_Tbl,0,0,0.2278614044189453,electron,charged_hadron
3A_real_hqql_hadron,3347,3333,8,label_Tbl,label_Hqql,1,1,2.210027813911438,muon,photon
3A_control_qcd_hadron,3347,9211,8,label_Tbl,label_Hqql,1,1,1.7044402360916138,muon,charged_hadron
3A_real_hqql_hadron,3361,3827,8,label_Tbl,label_QCD,0,1,4.314344763755798,electron,neutral_hadron
3A_control_qcd_hadron,3361,9016,8,label_Tbl,label_Hqql,1,1,5.100067973136902,electron,charged_hadron
3A_real_hqql_hadron,3382,3858,8,label_Tbl,label_Hqql,1,1,6.055283308029175,electron,neutral_hadron
3A_control_qcd_hadron,3382,8487,8,label_Tbl,label_Hqql,1,1,5.509785890579224,electron,neutral_hadron
3A_real_hqql_hadron,3403,4092,8,label_Tbl,label_Hqql,1,1,1.8788940906524658,electron,electron
3A_control_qcd_hadron,3403,8420,8,label_Tbl,label_QCD,0,1,-1.6692049503326416,electron,neutral_hadron
3A_real_hqql_hadron,3433,3408,8,label_Tbl,label_Hqql,1,1,2.918896794319153,muon,electron
3A_control_qcd_hadron,3433,8414,8,label_Tbl,label_Tbl,0,0,2.3611272275447845,muon,charged_hadron
3A_real_hqql_hadron,3483,3619,8,label_Tbl,label_Hqql,1,1,4.393407225608826,muon,electron
3A_control_qcd_hadron,3483,8270,8,label_Tbl,label_Hqql,1,1,2.793308138847351,muon,photon
3A_real_hqql_hadron,3491,4068,8,label_Tbl,label_Tbl,0,0,1.173082709312439,muon,muon
3A_control_qcd_hadron,3491,8814,8,label_Tbl,label_Tbl,0,0,1.7706186473369598,muon,charged_hadron
3A_real_hqql_hadron,3501,3946,8,label_Tbl,label_Hqql,1,1,0.8785744905471802,electron,charged_hadron
3A_control_qcd_hadron,3501,8575,8,label_Tbl,label_Hqql,1,1,1.072962999343872,electron,charged_hadron
3A_real_hqql_hadron,3562,3733,8,label_Tbl,label_Tbl,0,0,5.024041414260864,electron,muon
3A_control_qcd_hadron,3562,8474,8,label_Tbl,label_Tbl,0,0,3.586548328399658,electron,charged_hadron
3A_real_hqql_hadron,3603,3768,8,label_Tbl,label_Hqql,1,1,2.2298097610473633,electron,muon
3A_control_qcd_hadron,3603,9116,8,label_Tbl,label_Tbl,0,0,0.1630188226699829,electron,photon
3A_real_hqql_hadron,3611,3115,8,label_Tbl,label_Hqql,1,1,2.573401927947998,electron,neutral_hadron
3A_control_qcd_hadron,3611,8768,8,label_Tbl,label_Hqql,1,1,3.0426803827285767,electron,charged_hadron
3A_real_hqql_hadron,3658,3902,8,label_Tbl,label_Hqql,1,1,2.4251132011413574,muon,muon
