patch,layer,group,channel_head,channels,delta_pred_logit,kl,top1_match,base_acc,patch_acc
edge_channel_head_zero,1,ch16:32,1,16:32,9.108291625976562,1.2719358205795288,0.5335937738418579,0.768750011920929,0.5015625357627869
edge_channel_head_zero,2,ch224:256,7,224:256,4.734676361083984,0.30515360832214355,0.7945312857627869,0.768750011920929,0.717968761920929
edge_channel_head_zero,0,ch40:48,5,40:48,3.7968997955322266,0.48599711060523987,0.702343761920929,0.768750011920929,0.6304687857627869
edge_channel_head_zero,1,ch112:128,7,112:128,3.21044921875,0.37369441986083984,0.745312511920929,0.768750011920929,0.6640625
edge_channel_head_zero,0,ch24:32,3,24:32,2.3205552101135254,0.7235562205314636,0.6265625357627869,0.768750011920929,0.571093738079071
edge_channel_head_zero,0,ch8:16,1,8:16,1.679640531539917,0.3614487946033478,0.7171875238418579,0.768750011920929,0.6328125
edge_channel_head_zero,2,ch64:96,2,64:96,1.5928318500518799,0.03133425489068031,0.92578125,0.768750011920929,0.7593750357627869
edge_channel_head_zero,0,ch48:56,6,48:56,1.4112962484359741,0.4230606257915497,0.698437511920929,0.768750011920929,0.620312511920929
edge_channel_head_zero,0,ch16:24,2,16:24,1.1316779851913452,0.37151774764060974,0.719531238079071,0.768750011920929,0.63671875
edge_channel_head_zero,2,ch0:32,0,0:32,0.8849118947982788,0.19052894413471222,0.813281238079071,0.768750011920929,0.6851562857627869
edge_channel_head_zero,1,ch96:112,6,96:112,0.8436692953109741,0.18667618930339813,0.7867187857627869,0.768750011920929,0.6890625357627869
edge_channel_head_zero,0,ch0:8,0,0:8,0.8412851691246033,0.49072375893592834,0.653124988079071,0.768750011920929,0.612500011920929
edge_channel_head_zero,2,ch128:160,4,128:160,0.7934991717338562,0.047976911067962646,0.9000000357627869,0.768750011920929,0.7554687857627869
edge_channel_head_zero,0,ch56:64,7,56:64,0.5990434288978577,0.2165956348180771,0.778124988079071,0.768750011920929,0.6851562857627869
edge_channel_head_zero,1,ch32:48,2,32:48,0.5084255933761597,0.11973156780004501,0.832812488079071,0.768750011920929,0.72265625
edge_channel_head_zero,0,ch32:40,4,32:40,0.49773645401000977,0.11553359031677246,0.8726562857627869,0.768750011920929,0.7289062738418579
edge_channel_head_zero,2,ch160:192,5,160:192,0.419948011636734,0.039543405175209045,0.938281238079071,0.768750011920929,0.7640625238418579
edge_channel_head_zero,1,ch48:64,3,48:64,0.4194760322570801,0.05685068294405937,0.899218738079071,0.768750011920929,0.750781238079071
edge_channel_head_zero,1,ch80:96,5,80:96,0.38510915637016296,0.09054660052061081,0.909375011920929,0.768750011920929,0.7593750357627869
edge_channel_head_zero,2,ch192:224,6,192:224,0.3160973787307739,0.03386884927749634,0.9468750357627869,0.768750011920929,0.757031261920929
edge_channel_head_zero,1,ch0:16,0,0:16,0.25190746784210205,0.10419551283121109,0.8617187738418579,0.768750011920929,0.753125011920929
edge_channel_head_zero,2,ch32:64,1,32:64,0.188676118850708,0.04929553344845772,0.9164062738418579,0.768750011920929,0.7484375238418579
edge_channel_head_zero,2,ch96:128,3,96:128,0.17285281419754028,0.022693442180752754,0.9398437738418579,0.768750011920929,0.7671875357627869
edge_channel_head_zero,1,ch64:80,4,64:80,0.1583806276321411,0.06239362433552742,0.90234375,0.768750011920929,0.7515625357627869
