class_label,n,jet_pt_mean,jet_pt_p50,jet_pt_p90,jet_energy_mean,jet_energy_p50,jet_energy_p90,jet_nparticles_mean,jet_nparticles_p50,jet_nparticles_p90,jet_sdmass_mean,jet_sdmass_p50,jet_sdmass_p90,jet_tau1_mean,jet_tau1_p50,jet_tau1_p90,jet_tau2_mean,jet_tau2_p50,jet_tau2_p90,jet_tau3_mean,jet_tau3_p50,jet_tau3_p90,jet_tau4_mean,jet_tau4_p50,jet_tau4_p90
label_Hbb,128,617.8724365234375,588.877197265625,806.2814331054688,877.8602294921875,772.1829833984375,1294.671630859375,41.6328125,39.0,59.29999923706055,101.60246276855469,114.96269226074219,132.4730224609375,0.1668739914894104,0.16192352771759033,0.24908964335918427,0.05691453814506531,0.04862246662378311,0.10148326307535172,0.04019998013973236,0.03646356612443924,0.0675424188375473,0.03313764929771423,0.030703913420438766,0.05503704398870468
label_Hcc,128,614.7080688476562,586.8763427734375,742.0953979492188,900.7919311523438,770.3256225585938,1438.3721923828125,38.15625,35.5,55.0,115.6884994506836,120.32850646972656,137.1721954345703,0.18713611364364624,0.18020503222942352,0.2700183093547821,0.05762298405170441,0.04737240448594093,0.10426025837659836,0.03879793360829353,0.03372398018836975,0.06521047651767731,0.031273726373910904,0.02709197998046875,0.05075935274362564
label_Hgg,128,623.5263671875,590.9009399414062,789.2462158203125,954.0362548828125,812.367919921875,1579.93310546875,57.546875,58.0,74.0,105.81298828125,115.73113250732422,130.140869140625,0.1820131093263626,0.1839597225189209,0.2523808181285858,0.08180148899555206,0.07926452159881592,0.11842943727970123,0.06027544289827347,0.05890261381864548,0.08520449697971344,0.04998180270195007,0.04986301064491272,0.07348977029323578
label_Hqql,128,625.6058349609375,591.6151123046875,765.1251220703125,883.8158569335938,805.1776733398438,1284.1063232421875,28.21875,27.0,40.29999923706055,76.54801940917969,75.45207214355469,113.3558349609375,0.13685263693332672,0.12571945786476135,0.2151888906955719,0.06120389699935913,0.050882335752248764,0.10668345540761948,0.03289664909243584,0.027892380952835083,0.06242914870381355,0.022918153554201126,0.02030647173523903,0.039394915103912354
label_H4q,128,620.0438232421875,586.729736328125,781.5867919921875,931.39404296875,775.6784057617188,1481.2998046875,49.5546875,48.0,65.0,107.30088806152344,112.54945373535156,133.9725799560547,0.20070521533489227,0.2023848593235016,0.2609957456588745,0.10778078436851501,0.10401822626590729,0.14549249410629272,0.06801052391529083,0.06454041600227356,0.09487690776586533,0.04901162162423134,0.04629107564687729,0.06960789859294891
label_Tbl,128,602.3046875,569.45068359375,747.513427734375,830.671875,766.0914306640625,1167.712158203125,28.0859375,25.0,46.29999923706055,112.14425659179688,110.75633239746094,172.30734252929688,0.18191221356391907,0.18091221153736115,0.28567036986351013,0.04738044738769531,0.030832679942250252,0.11752746254205704,0.02784835547208786,0.02157939411699772,0.05607470124959946,0.02119881846010685,0.016317714005708694,0.043755702674388885
label_Tbqq,128,618.5046997070312,584.4810791015625,803.1498413085938,906.2504272460938,781.4138793945312,1378.162353515625,50.390625,48.0,66.9000015258789,159.02464294433594,164.60833740234375,204.20379638671875,0.2676870822906494,0.25676456093788147,0.36258819699287415,0.1267244964838028,0.12113809585571289,0.1946048140525818,0.0623495988547802,0.057330790907144547,0.09148071706295013,0.047043830156326294,0.045449722558259964,0.06665577739477158
label_Wqq,128,625.8219604492188,592.8692626953125,790.4129028320312,1038.5064697265625,914.5153198242188,1707.6182861328125,30.84375,30.0,40.29999923706055,74.9476318359375,78.26728820800781,90.56185150146484,0.12675118446350098,0.12028942257165909,0.17312626540660858,0.044192031025886536,0.04220464453101158,0.06624415516853333,0.02961438149213791,0.028005482628941536,0.04423617199063301,0.02355795167386532,0.023182692006230354,0.035554189234972
label_QCD,128,639.0897216796875,613.7362060546875,787.5177612304688,937.8358154296875,797.802490234375,1470.815673828125,39.03125,37.5,59.20000076293945,71.45391845703125,35.31220626831055,191.6396026611328,0.11793407797813416,0.08340667188167572,0.27844661474227905,0.05502096563577652,0.04298806190490723,0.10202740132808685,0.03912096098065376,0.034606434404850006,0.0732184648513794,0.031418327242136,0.02803095057606697,0.05755476653575897
label_Zqq,128,623.1302490234375,595.7818603515625,785.4356079101562,919.9373168945312,824.1566772460938,1443.961181640625,34.96875,34.0,48.29999923706055,79.96484375,86.76861572265625,108.2701416015625,0.13151828944683075,0.12302550673484802,0.19120556116104126,0.04992572218179703,0.0453411266207695,0.08520126342773438,0.03399799019098282,0.030935924500226974,0.05615697428584099,0.027718108147382736,0.025852955877780914,0.04651546850800514
